Word,Frequency
taming,1
shrew,1
bombastic,9
extravagantly,1
cecil,1
demille,1
muscular,2
bible,3
atomic,3
effectively,40
avoids,13
taint,1
shivers,2
elementally,1
basic,16
ingredients,21
lays,6
profoundly,14
foundation,4
thief,6
invigorating,1
cut,10
neon,4
proudly,9
steeped,6
authenticity,10
powered,16
swaggering,1
charisma,23
flying,5
saucer,1
go,40
thing,19
concise,4
plotting,38
grimmer,1
rife,4
three,38
amigos,2
trio,13
gifted,9
comedians,3
agreeably,9
adrift,3
dawdling,3
tommy,12
erratic,5
propulsive,4
incorporating,1
songs,29
irreverent,12
odyssey,6
imagination,17
ken,5
conjure,1
artistically,2
treat,39
sinister,8
trip,32
groovy,4
rough,12
stretches,8
pedestrian,19
twelve,2
restrained,13
warriors,3
pulp,6
filmmaking,63
league,8
hughes,6
resolutely,6
weird,5
nonetheless,26
via,3
ridiculous,19
unabashedly,22
within,20
setting,56
harrison,15
ford,26
emotive,1
wuthering,1
exemplar,2
fault,27
train,17
meanders,4
goes,29
retaining,1
deadpan,11
pehaps,1
kenneth,6
branagh,5
fully,38
henry,11
v,6
passionate,18
introduction,12
lewis,3
carroll,2
wonderland,2
unique,41
undeniable,9
triumph,16
rise,27
artificiality,1
military,11
recruitment,2
progaganda,1
charlie,14
biehn,1
sequel,81
dalmatians,2
critics,59
drags,5
adding,40
enduringly,1
watchable,27
hits,45
expressive,3
jungle,9
goodbye,6
ice,11
idiosyncratic,8
sensibilities,8
goodfellas,2
scorsese,19
bursting,6
frantic,15
tinged,1
hours,12
overlooked,2
detour,3
niro,20
awakenings,1
skirts,1
edges,8
soars,4
diabolique,1
twist,49
ending,27
commitments,1
vibrantly,3
blissfully,1
ode,10
claustrophobic,9
decently,1
todd,7
haynes,2
cape,1
fear,16
gleefully,18
mainstream,16
shocker,5
peformance,1
oliver,15
jfk,2
dubious,3
cramming,1
ton,2
manipulated,1
moon,13
including,13
reese,7
witherspoon,7
hit,28
winning,28
italian,10
job,15
romp,11
epitomizes,1
britannia,1
fluffy,13
incorrigible,1
beethoven,2
cutting,5
shows,18
skate,3
crime,65
powerhouse,16
unorthodox,8
mice,2
stays,11
focused,8
throws,4
handful,32
thin,53
scattered,16
engagingly,2
scruffy,1
singles,1
doubles,8
credible,4
capsule,1
mohicans,1
breathless,4
plays,40
richer,2
husbands,1
wives,2
blistering,1
snapshot,6
two,93
marriages,3
disarmingly,5
matinee,3
buffs,10
convert,2
clint,21
eastwood,24
strips,1
varnish,1
applied,1
emerges,8
harshly,2
eloquent,6
statements,2
layered,20
leap,7
anchored,33
spike,18
rights,4
leader,2
autobiography,1
sweep,6
soar,2
al,17
pacino,17
finally,4
giving,10
academy,5
pause,1
award,1
oscar,7
vanishing,2
copies,1
function,3
stalker,6
oblique,1
draws,21
unforgettable,20
philosophical,10
musings,6
borrows,14
cliffhanger,1
talents,40
firm,2
amusingly,1
boardroom,1
false,6
securities,1
represented,1
shy,6
rich,77
ballroom,2
infectious,23
dance,23
moves,18
contagious,5
airborne,1
skates,4
downhill,2
gettysburg,1
balanced,14
turning,2
broke,2
traditions,1
noon,2
cooper,6
defiant,1
exhilarating,18
chase,12
model,1
underrated,5
jeff,12
bridges,12
dealing,2
profound,21
grief,12
runnings,1
uplifting,42
starry,4
musketeers,3
slickly,8
unmemorable,5
bound,5
vibrant,18
snow,11
white,33
dwarfs,1
easy,44
admire,5
earp,2
buries,2
undisciplined,5
bombast,7
cameron,9
diaz,3
blowsy,1
cartoony,1
keep,63
mask,7
shadow,14
chord,2
rudyard,1
kipling,1
hew,1
closely,8
suggests,29
known,12
late,13
raul,2
fighter,4
nonstop,5
storyline,53
lineup,3
actresses,4
gillian,4
armstrong,3
louisa,1
alcott,1
succeed,7
matter,33
obnoxious,8
half,28
stirring,19
interconnected,2
lives,84
benton,2
stacked,1
nobody,4
fool,4
bunch,6
ballad,2
dying,6
quick,4
draw,6
suggest,8
nontraditional,1
westerns,15
rootin,2
tootin,2
helm,3
eclectic,7
onscreen,22
village,5
damned,2
distinguished,19
alfonso,4
cuarón,4
frances,3
hodgson,1
burnett,1
keen,7
realism,11
vividly,3
recreating,4
childhood,12
seen,26
mad,8
juggle,3
result,58
misguided,27
fail,21
boys,18
smith,17
bay,6
drowns,7
explosions,6
actual,7
smoke,3
connected,2
stories,34
sends,10
pleasurable,5
pocahontas,1
means,21
unfortunate,15
budget,16
babe,2
ages,24
prophecy,2
walken,4
murderous,3
deal,3
distractingly,2
historically,4
dodgy,1
braveheart,1
justifies,3
length,35
scarlet,1
letter,8
strays,4
far,120
tell,30
strains,15
steamy,3
sensuality,2
laughter,8
visit,7
home,41
holidays,3
bumpy,6
fondly,3
flawed,42
kicking,1
screaming,2
noah,5
baumbach,4
emerging,7
persuasion,4
jane,21
austen,9
essence,4
author,7
die,16
sadly,18
stab,5
dissecting,1
america,41
celebrity,24
rob,14
base,4
dj,2
ez,1
rock,51
olsen,4
twins,2
opposite,2
bravura,11
pay,7
spite,17
safe,17
bet,1
feast,14
malnourished,1
jumanji,2
underachieving,1
amount,35
crookback,1
relocates,2
ian,2
mckellen,2
monstrous,2
magnetic,20
minutes,18
confirms,3
mastery,3
sydney,3
pollack,2
seasoned,7
pleasant,25
diversion,27
sexist,4
juvenile,21
metal,6
sudden,2
death,41
exciting,41
van,17
damme,4
debt,5
covers,10
angles,5
topic,8
resorting,8
preaching,6
walking,6
reflect,2
regardless,1
viewpoint,5
restoration,1
bestselling,12
downey,7
jr,2
sum,15
othello,1
highly,18
fishburne,4
blockbuster,29
emphasizes,3
twister,1
increasingly,10
overblown,5
illogical,11
supper,1
offer,99
nourishment,2
comfort,7
farm,1
classics,18
rivals,1
inspirations,4
summer,35
independence,2
beat,7
engage,12
brain,3
zane,1
thus,6
phantom,5
friendly,3
completely,24
hero,28
danny,16
matilda,1
diverges,3
roald,3
dahl,3
spirit,45
timid,3
unfocused,25
lackluster,18
misfire,23
morbid,5
curiosity,5
superficial,12
skillful,5
craftsmanship,4
kingpin,1
eagerness,1
descend,1
ironic,8
scientific,4
core,18
chain,1
reaction,3
sticks,5
childlike,2
channeled,1
wrong,11
jack,31
sinks,8
queasy,5
schmaltz,10
riding,3
freeway,1
audacious,14
harriet,1
constructed,28
thinly,34
fundamental,5
misunderstandings,1
arrest,3
borderline,6
irresponsible,2
victor,4
hugo,3
deflect,1
gunfire,1
bulletproof,1
impervious,1
logic,13
emma,7
auspicious,11
douglas,12
mcgrath,3
gwyneth,2
paltrow,4
selena,1
rendered,10
irrelevant,1
lopez,5
lone,5
sayles,4
independent,4
neat,1
glenn,2
close,31
pointless,12
intensity,12
ransom,2
fiery,6
jolting,1
wes,12
craven,6
deconstruction,4
cheeky,2
travolta,5
nora,2
ephron,3
maudlin,11
grating,9
tap,4
heavenly,3
charms,34
crucible,1
dutifully,1
renders,5
handsome,7
anger,6
earned,4
reputation,4
textured,3
using,15
create,22
none,15
endearing,26
stern,2
equally,7
albert,6
pugnacious,2
mother,18
curmudgeon,1
acidic,3
debbie,2
iron,14
monkey,5
lyricism,2
crouching,2
tiger,4
volcano,1
prodigious,2
pyrotechnics,3
jones,27
crotchety,1
sneers,1
lava,1
routine,6
disaster,21
wound,6
carter,3
explore,16
traveller,1
unfamiliar,7
subculture,5
joel,4
schumacher,2
attitude,7
unbearable,4
limit,6
batman,9
resulting,15
jokey,2
care,18
brainy,6
contact,2
elucidates,1
concepts,5
theological,1
inquiry,3
expense,16
satisfying,87
engages,3
steel,5
indulges,6
superhero,25
sappy,7
fincher,5
beautiful,69
anastasia,1
fox,8
studios,2
firestorm,1
ignite,2
footballer,1
howie,1
else,26
invigorated,1
francis,10
coppola,16
rainmaker,1
legal,7
grisham,1
recycling,3
materials,2
expectations,20
surface,24
locations,1
dual,7
diminishing,15
returns,25
epilogue,1
pageantry,2
alexandre,2
dumas,2
text,2
panache,11
nightwatch,1
inspiration,20
remaking,2
foreign,6
hiring,1
success,14
frustratingly,35
deliberate,17
pace,57
susan,7
sarandon,6
twilight,10
wholly,13
ranging,1
comatose,1
hysterical,2
bit,55
surprise,5
generate,16
handsomely,10
crafted,61
condenses,1
developments,2
blunting,1
impact,48
tad,6
older,12
madeline,5
adventurous,11
heroine,7
intended,6
nancy,3
meyers,2
lindsay,4
lohan,4
shines,17
breakout,12
steven,26
soderbergh,15
intelligently,5
elmore,2
leonard,4
suprisingly,1
clooney,5
spinoff,3
avengers,7
ineptly,5
woefully,8
negotiator,1
battle,29
wits,2
justify,17
excessive,24
confident,17
gray,7
formidable,9
situation,5
mind,26
hostage,2
blade,8
fierce,6
plentiful,1
appropriately,19
richly,30
contributed,1
value,22
blunt,12
provocation,1
nihilistic,4
filmmakers,10
tango,2
steps,2
stultifying,2
daringly,2
ii,34
enormous,2
eager,6
mere,3
journey,57
royal,5
cate,10
blanchett,8
happiness,5
grimly,7
fearless,8
produce,15
perversely,2
moving,83
search,16
humanity,18
everyday,8
depravity,5
benigni,4
overstepping,1
bounds,2
unnecessarily,6
treacly,7
possibility,1
hope,18
unflinching,13
beguiling,12
transcend,11
insult,5
fx,3
nabokov,1
words,12
adrian,2
lyne,1
undermine,8
effectiveness,8
sant,6
illuminates,3
impostors,1
benefited,3
stanley,10
tucci,4
acquits,2
nicely,12
orchestrator,1
predictability,8
greatly,13
undermines,14
duo,9
raucous,7
persuasive,10
argument,14
meaningful,7
winslow,1
mamet,11
easily,15
commendable,6
results,40
charmless,4
pales,5
comparison,14
namesake,5
sadistic,5
saddle,2
bent,3
juggles,8
topics,4
exploitation,20
parent,2
merriment,2
offering,54
communist,2
eastern,7
europe,5
microcosm,3
underground,6
exhausting,3
sink,4
jaws,6
seeking,23
toothy,2
worse,16
awkward,22
alternate,2
farcically,1
watergate,1
michelle,12
kirsten,3
dunst,3
ferrell,11
faultless,2
shining,4
display,14
bard,2
propitiously,1
brevity,1
eh,1
nitty,1
wilde,7
foibles,3
police,16
establish,3
rhythm,3
host,4
malcolm,2
andy,10
kaufman,4
helps,22
anna,13
lengthy,9
unremarkable,7
hurricane,2
risks,7
kirk,2
flinty,3
jordan,7
fiennes,4
julianne,4
dumb,9
snl,6
unsophisticated,1
unfunny,55
homage,27
examines,6
terrible,5
improbable,6
muddled,60
disappointingly,35
tidy,2
boiler,1
writing,23
brisk,9
getting,13
recommendations,1
whatever,6
capture,23
hand,20
combine,8
sort,4
word,9
becomes,13
heather,2
graham,3
dinosaur,3
computer,7
detailed,15
backgrounds,1
worth,84
comics,8
desperately,4
stiff,4
depending,6
tastes,6
mixed,14
reviews,3
especially,27
mtv,3
narration,2
free,14
detracts,2
pushes,5
absurdity,11
nicolas,20
cage,23
angelina,9
jolie,11
duval,1
came,6
aboard,2
project,21
quality,13
seconds,2
nonsensical,6
languid,4
melancholy,17
carefully,6
rumination,6
adolescence,11
rural,3
shaft,2
knows,8
buttons,2
patriot,2
soapy,10
qualify,4
guilty,10
crowd,8
flicks,8
loser,3
across,19
underwritten,1
basis,5
saving,6
indeed,6
saved,7
notably,3
brenda,1
blethyn,1
excessively,13
noisy,8
edited,18
four,19
palpably,1
cloverfield,2
confined,4
frontier,3
stiles,2
heath,4
ledger,4
unexpectedly,10
elevating,3
slightly,20
reunion,8
years,26
dimensional,2
mob,6
employs,1
mafia,2
foxx,2
bait,3
video,13
credibility,7
duets,1
sloppy,14
uninteresting,4
sally,8
field,11
implausible,28
loathsome,1
freeman,9
suspicion,1
rate,5
collect,1
paycheck,1
middling,33
contender,1
sleeve,6
either,33
aisle,1
ladies,3
joins,3
growing,9
list,10
mediocre,32
skits,2
kaminski,1
apocalypse,11
unengaging,5
essentially,9
spots,15
malena,2
ends,27
objectifying,1
person,13
reported,1
million,6
gift,13
obviously,13
involved,15
becoming,5
whodunit,5
unsatisfactory,1
pulls,8
traffic,2
ethics,3
guys,6
orlando,2
ruined,5
pledge,3
subtle,30
nicholson,11
therapy,1
fresh,89
interaction,1
toned,1
chris,17
limp,8
gag,3
schmaltzy,15
november,2
waiting,6
exhale,2
brothers,42
however,17
retread,15
pour,1
lot,24
heartbreakers,1
subplot,2
con,5
sit,7
pedophile,3
underdeveloped,13
dynamics,12
spearheaded,1
ace,4
incisive,10
sardonic,1
opportunistic,1
lets,10
compunction,1
hollow,23
bloodshed,2
stereotypically,1
suggested,3
recent,21
animal,9
reitman,5
ghostbusters,3
unsuccessful,5
misfires,3
shiny,1
fast,33
furious,9
recalls,5
pearl,5
harbor,3
titanic,1
laughably,4
minute,3
sequence,4
compare,2
win,21
ground,27
watching,29
expertise,3
banter,4
reminds,4
need,24
expensive,1
complexity,12
franco,8
team,13
trouble,10
labors,1
really,32
gains,4
sidewalks,1
generally,9
allen,30
problems,17
trite,13
scarce,1
wash,3
car,8
collateral,3
damage,1
unexceptional,1
artistic,8
count,5
monte,2
cristo,1
swashbuckler,5
sluggish,9
minor,11
herzog,11
texas,11
rangers,2
stuff,6
iris,2
enemy,7
lines,16
jingoistic,2
overload,7
tricks,5
resemble,1
lillard,1
uncannily,1
shaggy,2
scooby,1
doo,1
vanity,5
crossroads,6
britney,1
guy,30
machine,9
worst,17
switches,2
rookie,1
honesty,12
dennis,9
quaid,5
morris,5
showtime,1
buddy,11
satirizing,2
malkovich,6
forced,11
enigma,3
thinking,4
exploits,8
serious,23
issue,11
spousal,1
abuse,9
unintelligent,1
driven,9
insomnia,1
sustain,6
creepiness,2
necessary,16
kidnapping,3
endangerment,1
trapped,5
exploitative,14
derailed,5
cautionary,6
tales,9
depend,2
coincidences,3
context,14
swept,1
madonna,2
depressingly,3
femme,1
fatale,1
overheated,6
terms,19
empire,5
dizzyingly,2
loopy,4
roberto,3
pinocchio,2
experienced,4
steady,10
nickleby,1
respectful,8
thought,14
management,1
considering,6
capable,14
cross,5
section,1
bag,6
tones,8
skateboard,1
padded,3
cabin,3
fever,7
satisfied,3
paying,2
reinventing,1
treatment,25
luther,2
product,14
adults,32
consider,3
dog,27
grungy,1
disjointed,27
brainless,5
expertly,15
flourishes,8
frustrate,8
gracefully,6
applying,1
distinctive,26
torque,1
ponderous,8
hirsch,2
cuthbert,1
outlaw,3
ned,2
kelly,12
stiller,5
wring,6
extended,6
poop,3
joke,10
cloying,11
terminal,4
virtue,3
dreary,3
doc,23
methodically,1
argues,3
lightning,2
bottle,4
pays,29
tribute,63
blues,6
capturing,10
interviews,11
queen,15
latifah,4
pointers,1
supposed,2
staring,1
usually,5
blameless,1
cube,3
nia,3
provoked,2
write,1
dakota,5
fanning,9
praise,3
hide,3
seek,3
called,9
cursed,1
moderately,10
fluff,6
appleseed,1
pondering,3
existentialism,2
disconnect,3
crash,5
dangers,5
bigotry,1
xenophobia,3
angelenos,1
gags,74
loud,20
stealth,1
unsucessfully,1
gun,13
creaky,3
skeleton,3
hoodoo,1
assume,1
reality,10
slave,4
hellbent,1
gay,10
voodoo,1
mojo,1
venom,2
chock,2
impalings,1
interchangeable,2
girls,31
hunky,2
unstoppable,5
unimaginative,11
rampage,2
lulls,3
philip,8
seymour,4
hoffman,11
guides,3
sensational,2
truman,3
capote,2
glimpses,1
civics,1
lesson,2
luck,4
climate,6
provoke,5
forgive,9
rent,2
weak,14
inescapable,1
staginess,1
irritating,6
pretension,2
connecting,2
gulf,2
thrust,3
challenge,8
spans,2
sure,15
fave,1
ringer,2
monotonous,7
transvestite,1
prostitute,1
london,10
curious,9
bright,22
beloved,17
books,5
evidence,8
opponents,1
ridiculously,1
cgi,11
doom,5
chinese,6
chen,3
kaige,2
fractured,6
fairytale,1
compete,2
shrek,6
underdog,10
triumphs,4
date,17
mockery,2
toilet,4
empty,14
motivating,1
forces,5
frothy,7
oddly,9
bloodless,1
disservice,3
casanova,1
overloaded,3
doogal,1
simpleminded,1
inclusive,3
awakening,5
storm,4
mix,37
clunky,14
actor,11
mullan,1
gaby,2
dellal,1
cheung,1
recovering,2
addict,4
hampered,11
undermined,20
novelty,5
seeing,10
rescue,11
fish,8
step,27
forward,15
rowan,2
woods,7
evil,27
attempts,28
unpack,1
causes,2
mentally,1
ill,5
musician,4
genius,7
document,7
countless,14
lavish,11
daring,16
dramas,15
fact,9
precedence,1
highlight,9
invokes,2
sleeping,4
lie,4
treats,10
humanely,1
unable,15
bobcat,2
goldthwait,2
sexless,1
oh,6
ohio,1
establishing,3
objective,5
clouds,5
comforting,4
hoax,1
enormously,1
uniformly,3
lasse,3
hallström,2
zippy,3
object,3
bigger,8
thinner,1
guest,6
droll,3
lampooning,1
smaller,2
subjects,30
symbolism,10
metaphor,3
conflicts,1
middle,10
east,6
overbearing,4
plight,5
attractive,14
mitigate,3
spoof,21
quirkiness,3
empathic,1
succumb,2
parallel,1
contemporary,9
cavite,1
seedy,6
filipino,1
underworld,6
coastlines,1
hindered,3
nunez,1
previous,32
tackles,12
outrageous,4
pornography,1
transvestism,1
bisexuality,1
mischievous,1
glee,5
seems,23
suited,3
csi,1
doors,3
georgia,2
driving,2
lessons,4
youngster,1
coming,31
meets,7
senior,2
teaches,3
ballet,4
archival,8
elderly,1
former,9
dancers,1
execution,39
utterly,30
unintentionally,9
tactlessly,1
remarkably,12
divided,4
eric,9
steele,1
golden,13
gate,5
wonder,16
suicide,3
destination,9
conversation,4
god,17
must,8
asked,1
subtler,2
halle,3
berry,4
bruce,18
willis,9
stranger,12
superfluous,2
vitus,1
redeemed,11
definitely,18
maybe,7
refreshing,26
wanted,3
popcorn,13
playing,17
expert,4
assassin,7
mcavoy,3
morgan,9
absurdly,5
silk,2
francois,2
gerard,6
painstaking,2
lengths,1
protracted,3
wearisome,2
broad,23
license,2
wed,1
wrings,9
unappealing,2
aspirations,4
antibodies,1
diverting,20
games,10
chastising,1
lighthearted,8
lars,5
condescends,4
descent,12
focusing,3
rosario,1
dawson,1
state,18
town,9
city,38
angels,10
dreams,12
improvisation,1
tests,2
patience,21
recycles,5
uninspiring,4
redemption,11
flashbacks,4
preachiness,2
kingsley,6
tea,2
leoni,2
amu,1
woman,33
experiences,9
painful,13
indian,3
heartbreaking,28
clarity,4
hunting,5
party,12
tonally,7
cutely,1
alvin,2
chipmunks,2
potty,5
rehashed,5
express,8
crosses,3
goal,2
recognize,2
rape,1
europa,2
grapples,5
vast,2
several,13
infuriating,4
allegorical,1
blindness,2
mottled,2
implies,1
laborious,1
connecticut,1
goals,14
venditti,1
double,12
edged,1
sword,5
forging,1
demons,3
thrill,38
improvement,18
dan,5
brown,7
wavers,5
translate,5
stuffed,4
bones,5
abrupt,1
horrific,10
sentimentality,21
biz,1
girth,1
heavyweight,2
emily,9
crisply,2
bank,3
zack,1
miri,1
porno,1
seth,6
rogen,4
banks,4
yara,1
shahidi,1
imagine,3
eddie,18
murphy,17
ricky,3
gervais,3
transform,1
altogether,3
ghosts,9
pale,8
imitation,5
frat,2
college,7
changeling,1
convention,4
korine,4
maintains,7
hell,14
rusting,1
zeitgeist,1
biker,1
sucking,1
saucy,4
focussing,1
partition,1
india,3
pakistan,1
plotted,13
resonate,22
overcomes,23
unsubtle,2
swift,2
trumbo,3
celebrates,8
blacklisted,1
screenwriter,2
dalton,3
measures,3
sadness,1
milking,1
inadequate,2
jared,2
leto,1
chapter,35
penetrate,1
chapman,1
lennon,4
killer,34
cheerfully,9
relentless,5
immaturity,1
unamused,1
reilly,3
noise,4
roth,6
classy,3
elegy,2
dawn,11
dinosaurs,3
converts,8
encounters,3
psyche,2
amid,3
landscapes,7
blessed,7
phoebe,1
dicey,1
suitably,32
wolfman,1
surprising,44
chills,23
mike,19
leigh,3
hawkins,3
walk,16
schlock,2
kitschy,4
viva,5
winnipeg,1
maddin,3
space,19
chimps,1
overabundance,4
puns,3
hounddog,1
downright,2
gina,3
forever,8
warmth,17
confection,3
plucky,2
frenetically,1
tasty,4
julian,1
schnabel,1
lou,4
album,2
concert,11
elegiac,2
patti,1
dream,14
paints,5
titular,32
chanteuse,1
complete,8
onstage,2
wreaking,1
havoc,1
neighbors,4
threatens,7
enters,1
quarantine,2
crop,2
reprise,1
joachim,2
trier,5
adulthood,3
announces,4
watched,1
lushly,1
politically,14
suggestive,1
resonance,8
name,24
opinion,2
campbell,5
unreasonable,1
burden,3
accomplished,13
inconsistency,3
listless,7
jen,1
dujardin,2
israeli,3
potent,25
trials,4
lance,3
contemplative,9
mississippi,3
lingers,6
alternately,7
paris,14
knack,3
bogged,14
sweetness,19
rank,4
unapologetic,2
represent,4
unrestrained,2
incomprehensibly,1
ninja,5
recount,1
electoral,1
conclusions,4
beth,2
humorless,3
swimming,3
data,2
warming,2
practical,2
solutions,2
matt,14
damon,13
boost,4
corporate,9
josé,1
padilha,1
wrecking,1
crew,6
greatness,4
helped,14
overdue,8
overshadowed,6
brilliance,4
dorian,1
nobel,1
son,12
zac,3
efron,3
harmless,5
dwayne,7
johnson,15
force,17
chompers,1
render,3
tooth,1
unacceptably,1
burdened,6
gimmicky,7
greengrass,2
bourne,6
stock,10
methods,4
pithy,1
noel,3
coward,1
sparkle,4
fizz,2
dear,6
zachary,1
fallen,6
astray,1
skillfully,17
put,19
spared,1
christian,14
mckay,3
intellectual,6
uncommonly,25
crazies,2
unusually,6
wish,12
shane,4
acker,1
drawing,11
universe,10
nowhere,15
stooges,2
inestimable,1
confuse,2
bore,6
darwin,1
curiously,11
dispassionate,1
creation,5
jon,10
amiel,1
bettany,2
scenery,16
extend,1
tropes,30
pelham,2
excesses,2
inevitable,5
obsessed,1
masterfully,6
katyn,1
wartime,10
hugh,8
dancy,1
asperger,1
syndrome,3
elevates,15
offbeat,24
confessional,1
sheds,3
boxing,8
icons,2
entering,3
hands,8
splice,1
subtlety,7
nuance,9
cove,1
impeccably,9
expose,7
covert,1
slaughter,2
dolphins,1
japan,1
bucharest,1
mary,13
max,14
lovingly,3
startlingly,8
equaled,1
groundbreaking,16
profundity,4
puss,1
boots,3
effervescent,6
charmer,9
pope,2
eclipse,2
gruesome,11
explicit,2
von,7
triers,1
extract,1
slighter,2
judge,5
distracting,5
calm,4
saves,1
everybody,7
stereotypical,5
opt,1
answers,10
framework,14
plain,6
poet,2
ginsberg,2
howl,1
solondz,4
uncompromising,14
fashion,30
friends,12
coyle,1
mitchum,3
transformative,1
mode,3
likeable,10
remember,5
uncle,4
nino,1
corny,10
coogan,8
lazy,12
disconcerting,1
french,25
sails,3
outing,25
anchors,4
idiosyncrasies,1
satisfyingly,15
jonah,8
brand,20
year,24
commercial,6
fishing,2
intriguingly,8
conor,1
mcpherson,1
pat,7
blind,6
benefit,6
stretched,19
furry,4
brendan,4
fraser,2
warrior,7
mock,3
tahar,1
rahim,1
prophet,2
immediate,4
details,19
patton,3
oswalt,2
lonely,6
fanatic,2
salt,3
certain,16
mileage,9
inherent,7
likability,4
hear,3
morgans,1
dad,4
posthumous,1
cults,1
publicity,2
stunt,4
casual,7
activists,3
recyclers,1
event,7
advertisement,1
competition,2
unsung,2
heroes,14
hirschbiegel,1
troubles,3
liam,12
neeson,10
nesbitt,1
susanne,2
bier,1
sheridan,2
displays,7
programmatic,1
borrowing,6
pixar,14
looney,5
despicable,4
surprises,18
mawkish,7
guessed,1
meerkats,1
chronicles,7
highs,6
lows,8
medium,5
singers,2
utilizing,4
archive,2
maps,2
successes,3
failures,2
environmental,2
movement,7
got,15
taste,13
poignantly,6
amreeka,1
distress,3
sell,4
shortcomings,6
hamilton,1
traces,3
albeit,47
arc,13
horse,9
tells,26
parental,5
fifty,5
ireland,1
carried,8
copy,3
probe,2
critically,2
teams,2
hong,7
directors,13
aficionados,8
gerald,2
mcmorrow,1
highlights,8
develop,6
passing,3
exposes,4
privacy,2
internet,7
asks,8
ego,1
faint,3
levels,11
gleeful,9
profanity,3
patricia,6
clarkson,4
stanely,1
stagey,2
rehearsal,1
impeccable,8
designer,3
colin,7
firth,3
butler,4
aniston,5
remain,15
hunter,13
benicio,2
del,9
toro,8
ensure,5
che,2
fascinates,2
sacrifices,9
coherence,5
unrelentingly,5
unites,11
boyle,7
monkeys,1
kooky,3
grippingly,2
rounds,7
hurtles,1
rapid,1
honorable,5
comfortable,4
unflinchingly,6
brutal,27
slavery,2
takashi,6
miike,6
eiichi,1
kudo,1
executed,11
dizzying,6
garner,4
lovable,5
soldiers,11
benghazi,1
comparatively,2
boast,6
sins,2
finesse,4
atones,1
starkly,4
minimalist,5
relentlessly,5
builds,10
guessing,4
overt,3
genuinely,23
cusack,4
inaccurate,2
inert,10
columbus,2
critical,7
sensationalism,1
media,4
mos,1
def,1
blocks,1
shopworn,10
zak,2
hilditch,2
spielberg,18
glut,4
unwieldy,13
commensurate,3
guffaws,3
discomfiting,2
dystopian,10
hiv,1
attitudes,2
surrounding,9
affect,5
choices,4
nick,15
cave,2
meditation,14
mankind,2
monolithic,1
voyage,7
cosmos,1
roland,4
emmerich,3
support,8
massive,3
inflated,1
feet,6
stardom,4
passion,15
backup,1
century,15
annette,4
bening,4
shine,9
mills,1
assortment,6
roughly,3
strives,2
mimic,2
inconsistently,2
carry,17
torch,1
alejandro,8
gonzález,3
iñárritu,3
weaves,9
structured,3
grams,1
affectionate,27
jump,11
rowdy,1
july,4
aftereffects,1
terrorism,2
lingering,16
bromantic,1
china,6
blurs,1
theater,11
country,11
flux,3
hour,11
nimbly,2
manchester,2
scene,12
joyless,6
ended,4
hiatus,1
soon,8
usual,16
dresses,1
clichéd,35
tackling,4
kinetically,1
allegory,5
weeks,3
humanism,5
punchy,3
breezes,1
past,38
enjoyably,4
madcap,7
delpy,3
adept,1
actress,4
breaks,4
mold,1
valley,6
cars,6
tax,1
cells,1
jarringly,1
guns,4
rests,11
quotes,1
sounds,9
unturned,2
gonzo,8
eva,3
succumbs,6
mistakes,6
lowbrow,6
mean,13
already,27
converted,5
apply,6
bale,9
mangold,1
spreading,1
unifying,1
uneasily,2
conflict,8
board,5
lure,1
generations,3
focuses,7
signposts,1
spring,6
ninjas,1
enthusiasts,29
deserve,6
shortage,13
superior,25
options,2
choose,4
womanhood,1
upends,1
defies,5
seminal,3
wave,11
observation,1
nights,7
smutty,2
puerile,2
carell,6
realistically,1
connect,6
respectfully,2
inch,3
chest,1
redeem,2
mesmerizing,19
charlotte,2
rampling,2
courtenay,2
meters,1
antagonists,2
demanding,19
ronin,2
international,7
stranded,8
hrs,2
briskly,5
boldly,2
bracingly,5
opens,9
inscrutable,5
window,11
onto,2
russia,3
ilya,1
khrzhanovsky,1
intact,3
palpable,15
requires,7
anamaria,1
marinca,1
vasiliu,1
months,3
romania,1
maneuvers,1
overwhelms,3
sandler,21
yucks,1
memory,9
loss,16
investigation,7
parents,14
marriage,14
ordinary,15
tuesdays,1
familial,7
empathetic,26
robbed,3
integral,2
lgbtq,1
compromised,1
glance,1
disco,1
apted,1
continues,24
utilize,3
reflection,4
flights,3
deceptively,13
delicately,3
sketched,5
thematically,6
balloons,1
abbi,1
jacobson,1
origins,8
remaining,6
shower,2
insights,19
cineastes,4
alike,19
entebbe,1
sight,18
arguable,2
federico,2
fellini,2
feats,3
biased,2
california,4
impassioned,12
shockingly,5
wondrous,3
sophistication,6
handmade,1
pack,14
patiently,11
homes,1
righteous,2
moms,6
slapdash,8
dearth,9
cheer,8
band,17
group,12
perseverance,1
hardship,4
demián,1
bichir,1
simplicity,7
ample,7
immensely,10
splash,1
sumptuously,2
delights,7
bread,2
factory,8
sake,2
nourishing,3
imposing,4
perceptive,11
wealth,4
riches,3
depicts,11
hitchcockian,3
ciambra,1
burns,3
amiably,7
berlin,3
drive,9
echoes,4
cure,2
wellness,1
surfeit,8
frights,1
dealt,1
psychoanalysis,1
dangerous,6
method,3
fassbender,6
gavin,1
shedding,1
tear,2
puppermost,1
purpose,11
sugary,3
sentiment,12
canine,9
suffering,8
tugs,6
heartstrings,14
shameless,3
abandon,7
familiarity,6
chuckles,6
pegg,7
reliably,14
